Far field
"Theta"[deg]	"Phi"[deg]	"FarField1 []"
-1.80000000E+02	0.00000000E+00	5.72645313E-02
-1.80000000E+02	1.00000000E+00	5.72645313E-02
-1.80000000E+02	2.00000000E+00	5.72645313E-02
-1.80000000E+02	3.00000000E+00	5.72645313E-02
-1.80000000E+02	4.00000000E+00	5.72645313E-02
-1.80000000E+02	5.00000000E+00	5.72645313E-02
-1.80000000E+02	6.00000000E+00	5.72645313E-02
-1.80000000E+02	7.00000000E+00	5.72645313E-02
-1.80000000E+02	8.00000000E+00	5.72645313E-02
-1.80000000E+02	9.00000000E+00	5.72645313E-02
-1.80000000E+02	1.00000000E+01	5.72645313E-02
-1.80000000E+02	1.10000000E+01	5.72645313E-02
-1.80000000E+02	1.20000000E+01	5.72645313E-02
-1.80000000E+02	1.30000000E+01	5.72645313E-02
-1.80000000E+02	1.40000000E+01	5.72645313E-02
-1.80000000E+02	1.50000000E+01	5.72645313E-02
-1.80000000E+02	1.60000000E+01	5.72645313E-02
-1.80000000E+02	1.70000000E+01	5.72645313E-02
-1.80000000E+02	1.80000000E+01	5.72645313E-02
-1.80000000E+02	1.90000000E+01	5.72645313E-02
-1.80000000E+02	2.00000000E+01	5.72645313E-02
-1.80000000E+02	2.10000000E+01	5.72645313E-02
-1.80000000E+02	2.20000000E+01	5.72645313E-02
-1.80000000E+02	2.30000000E+01	5.72645313E-02
-1.80000000E+02	2.40000000E+01	5.72645313E-02
-1.80000000E+02	2.50000000E+01	5.72645313E-02
-1.80000000E+02	2.60000000E+01	5.72645313E-02
-1.80000000E+02	2.70000000E+01	5.72645313E-02
-1.80000000E+02	2.80000000E+01	5.72645313E-02
-1.80000000E+02	2.90000000E+01	5.72645313E-02
-1.80000000E+02	3.00000000E+01	5.72645313E-02
-1.80000000E+02	3.10000000E+01	5.72645313E-02
-1.80000000E+02	3.20000000E+01	5.72645313E-02
-1.80000000E+02	3.30000000E+01	5.72645313E-02
-1.80000000E+02	3.40000000E+01	5.72645313E-02
-1.80000000E+02	3.50000000E+01	5.72645313E-02
